source_file,original_url,rewritten_url,action,link_kind,anchor_text
migration/output/content/pages/can-a-isslot-element-have-a-dynamic-id.md,https://www.rhino-inquisitor.com/salesforce-b2c-commerce-cloud-content-erd/,/salesforce-b2c-commerce-cloud-content-erd/,rewrite,markdown-link,Content Slots
migration/output/content/pages/community-repositories.md,https://www.rhino-inquisitor.com/the-state-of-ohana-for-salesforce-commerce-cloud/,/the-state-of-ohana-for-salesforce-commerce-cloud/,rewrite,markdown-link,community
migration/output/content/pages/home.md,https://www.rhino-inquisitor.com/archive/,/archive/,rewrite,markdown-link,blog
migration/output/content/pages/life-with-goldie.md,https://www.rhino-inquisitor.com/community-salesforce-events-and-commerce-cloud/,/community-salesforce-events-and-commerce-cloud/,rewrite,markdown-link,Get noticed
migration/output/content/pages/life-with-goldie.md,https://www.rhino-inquisitor.com/events-and-the-golden-hoodie/,/events-and-the-golden-hoodie/,rewrite,markdown-link,Being the first in Belgium
migration/output/content/pages/privacy-policy.md,https://www.rhino-inquisitor.com/,/,rewrite,markdown-link,https://www.rhino-inquisitor.com/
migration/output/content/pages/salesforce-b2c-commerce-cloud-erd.md,https://www.rhino-inquisitor.com/the-salesforce-b2c-commerce-cloud-environment/,/the-salesforce-b2c-commerce-cloud-environment/,rewrite,markdown-link,Salesforce B2C Commerce Cloud
migration/output/content/pages/video.md,Connecting The Clouds: Wedding or funeral,/connecting-the-clouds-wedding-or-funeral/,link-video-heading,video-heading,Connecting The Clouds: Wedding or funeral
migration/output/content/pages/video.md,"Me, Myself and Headless: A composable Commerce Cloud Story",/me-myself-and-headless-a-composable-commerce-cloud-story/,link-video-heading,video-heading,"Me, Myself and Headless: A composable Commerce Cloud Story"
migration/output/content/pages/video.md,The path to being an Architect,/the-path-to-being-an-architect/,link-video-heading,video-heading,The path to being an Architect
migration/output/content/posts/20-years-of-dreamforce.md,https://www.rhino-inquisitor.com/get-connected-at-salesforce-connections-2022/,/get-connected-at-salesforce-connections-2022/,rewrite,markdown-link,Connections
