scope,file,kind,reference,category,status,severity,resolvedPath,mimeType,expectedExtension,width,height,message
markdown,migration/output/content/pages/salesforce-b2c-commerce-cloud-erd.md,bodyImage,/media/2023/salesforce-b2c-commerce-cloud-erd-0bdb8b007c.jpeg,ok,pass,info,src/assets/media/2023/salesforce-b2c-commerce-cloud-erd-0bdb8b007c.jpeg,image/jpeg,jpeg,1280,440,Reference resolves to an existing local file.
markdown,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,bodyImage,/media/2022/commerce-insights-report-c598e1214b.jpg,ok,pass,info,src/assets/media/2022/commerce-insights-report-c598e1214b.jpg,image/jpeg,jpg,300,174,Reference resolves to an existing local file.
markdown,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,bodyImage,/media/2022/cquotient-demandware-history-v2-942e794c7b.png,ok,pass,info,src/assets/media/2022/cquotient-demandware-history-v2-942e794c7b.png,image/png,png,300,146,Reference resolves to an existing local file.
markdown,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,bodyImage,/media/2022/einstein-cquotient-shared-database-6ab8c2ae5e.jpg,ok,pass,info,src/assets/media/2022/einstein-cquotient-shared-database-6ab8c2ae5e.jpg,image/jpeg,jpg,1024,333,Reference resolves to an existing local file.
markdown,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,bodyImage,/media/2022/einstein-search-dictionaries-suggestion-phrases-467a548c85.jpg,ok,pass,info,src/assets/media/2022/einstein-search-dictionaries-suggestion-phrases-467a548c85.jpg,image/jpeg,jpg,1024,484,Reference resolves to an existing local file.
markdown,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,bodyImage,/media/2022/sfcc-category-page-3297251518.jpg,ok,pass,info,src/assets/media/2022/sfcc-category-page-3297251518.jpg,image/jpeg,jpg,1024,610,Reference resolves to an existing local file.
markdown,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,bodyImage,/media/2022/sfcc-einstein-product-recommendations-75e024ae7c.jpg,ok,pass,info,src/assets/media/2022/sfcc-einstein-product-recommendations-75e024ae7c.jpg,image/jpeg,jpg,1024,384,Reference resolves to an existing local file.
markdown,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,bodyImage,/media/2022/sfcc-search-suggestions-d172038c0b.jpg,ok,pass,info,src/assets/media/2022/sfcc-search-suggestions-d172038c0b.jpg,image/jpeg,jpg,300,291,Reference resolves to an existing local file.
markdown,migration/output/content/posts/custom-ttf-fonts-in-pdf-for-sfcc.md,bodyImage,/media/2023/custom-font-result-df8aa2e64b.png,ok,pass,info,src/assets/media/2023/custom-font-result-df8aa2e64b.png,image/png,png,300,252,Reference resolves to an existing local file.
markdown,migration/output/content/posts/field-guide-to-custom-caches-in-sfcc.md,bodyImage,/media/2025/ods-custom-caches-business-manager-c30167212b.png,ok,pass,info,src/assets/media/2025/ods-custom-caches-business-manager-c30167212b.png,image/png,png,1024,365,Reference resolves to an existing local file.
markdown,migration/output/content/posts/field-guide-to-custom-caches-in-sfcc.md,bodyImage,/media/2025/salesforce-commerce-cloud-blueprinting-caches-c155ca3f8c.jpeg,ok,pass,info,src/assets/media/2025/salesforce-commerce-cloud-blueprinting-caches-c155ca3f8c.jpeg,image/jpeg,jpeg,1024,559,Reference resolves to an existing local file.
markdown,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,bodyImage,/media/2023/b2c-active-merchandising-slide-1-9a027d6449.gif,ok,pass,info,src/assets/media/2023/b2c-active-merchandising-slide-1-9a027d6449.gif,image/gif,gif,644,322,Reference resolves to an existing local file.
markdown,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,bodyImage,/media/2023/customer-active-data-sfcc-c14383fa6a.jpg,ok,pass,info,src/assets/media/2023/customer-active-data-sfcc-c14383fa6a.jpg,image/jpeg,jpg,284,300,Reference resolves to an existing local file.
markdown,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,bodyImage,/media/2023/dynamic-customer-group-a8cdefb897.jpg,ok,pass,info,src/assets/media/2023/dynamic-customer-group-a8cdefb897.jpg,image/jpeg,jpg,300,187,Reference resolves to an existing local file.
