source_id,primary_source_type,source_channel_set,source_url,target_file,target_url,disposition,conversion_mode,media_status,seo_status,a11y_status,security_status,url_parity_status,content_corrections_status,qa_status,owner
1207,wxr,"filesystem,wxr",/lets-go-live-ecdn/,migration/output/content/posts/lets-go-live-ecdn.md,/lets-go-live-ecdn/,keep,markdown,ok,pass,pass,pass,pass,corrected,review-required,Engineering Owner
12129,wxr,"filesystem,wxr",/where-to-hook-into-an-sfra-controller/,migration/output/content/posts/where-to-hook-into-an-sfra-controller.md,/where-to-hook-into-an-sfra-controller/,keep,markdown,ok,pass,pass,pass,pass,corrected,review-required,Engineering Owner
12535,wxr,"filesystem,wxr",/third-party-api-caching-in-commerce-cloud/,migration/output/content/posts/third-party-api-caching-in-commerce-cloud.md,/third-party-api-caching-in-commerce-cloud/,keep,markdown,ok,warn,pass,pass,pass,corrected,review-required,Engineering Owner
12775,wxr,"filesystem,wxr",/sending-emails-from-sfcc/,migration/output/content/posts/sending-emails-from-sfcc.md,/sending-emails-from-sfcc/,keep,markdown,ok,warn,pass,pass,pass,corrected,review-required,Engineering Owner
12947,wxr,"filesystem,wxr",/mastering-sitemaps-in-sfcc/,migration/output/content/posts/mastering-sitemaps-in-sfcc.md,/mastering-sitemaps-in-sfcc/,keep,markdown,ok,warn,pass,pass,pass,corrected,review-required,Engineering Owner
12990,wxr,"filesystem,wxr",/lag-to-riches-a-pwa-kit-developers-guide/,migration/output/content/posts/lag-to-riches-a-pwa-kit-developers-guide.md,/lag-to-riches-a-pwa-kit-developers-guide/,keep,markdown,ok,warn,pass,pass,pass,corrected,review-required,Engineering Owner
13311,wxr,"filesystem,wxr",/the-sfcc-guide-to-finding-pod-numbers/,migration/output/content/posts/the-sfcc-guide-to-finding-pod-numbers.md,/the-sfcc-guide-to-finding-pod-numbers/,keep,markdown,ok,warn,pass,pass,pass,clean,review-required,Engineering Owner
13328,wxr,"filesystem,wxr",/field-guide-to-custom-caches-in-sfcc/,migration/output/content/posts/field-guide-to-custom-caches-in-sfcc.md,/field-guide-to-custom-caches-in-sfcc/,keep,markdown,ok,warn,pass,pass,pass,corrected,review-required,Engineering Owner
13621,wxr,"filesystem,wxr",/kickstart-guide-for-new-sfcc-developers/,migration/output/content/posts/kickstart-guide-for-new-sfcc-developers.md,/kickstart-guide-for-new-sfcc-developers/,keep,markdown,ok,warn,pass,pass,pass,clean,review-required,Engineering Owner
1551,wxr,"filesystem,wxr",/secure-coding-in-salesforce-b2c-commerce-cloud/,migration/output/content/posts/secure-coding-in-salesforce-b2c-commerce-cloud.md,/secure-coding-in-salesforce-b2c-commerce-cloud/,keep,markdown,ok,pass,pass,pass,pass,corrected,review-required,Engineering Owner
1894,wxr,"filesystem,wxr",/salesforce-b2c-commerce-the-22-6-release/,migration/output/content/posts/salesforce-b2c-commerce-the-22-6-release.md,/salesforce-b2c-commerce-the-22-6-release/,keep,markdown,ok,pass,pass,pass,pass,corrected,review-required,Engineering Owner
2536,wxr,"filesystem,wxr",/how-to-setup-oauth-jwt-for-the-ocapi/,migration/output/content/posts/how-to-setup-oauth-jwt-for-the-ocapi.md,/how-to-setup-oauth-jwt-for-the-ocapi/,keep,markdown,ok,pass,pass,pass,pass,corrected,review-required,Engineering Owner
2978,wxr,"filesystem,wxr",/how-to-get-salesforce-certification-vouchers/,migration/output/content/posts/how-to-get-salesforce-certification-vouchers.md,/how-to-get-salesforce-certification-vouchers/,keep,markdown,ok,pass,pass,pass,pass,corrected,review-required,Engineering Owner
3042,wxr,"filesystem,wxr",/custom-ttf-fonts-in-pdf-for-sfcc/,migration/output/content/posts/custom-ttf-fonts-in-pdf-for-sfcc.md,/custom-ttf-fonts-in-pdf-for-sfcc/,keep,markdown,ok,warn,pass,pass,pass,corrected,review-required,Engineering Owner
3641,wxr,"filesystem,wxr",/what-is-the-ocapi-session-bridge/,migration/output/content/posts/what-is-the-ocapi-session-bridge.md,/what-is-the-ocapi-session-bridge/,keep,markdown,ok,pass,pass,pass,pass,corrected,review-required,Engineering Owner
4099,wxr,"filesystem,wxr",/ai-einstein-in-salesforce-b2c-commerce-cloud/,migration/output/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud.md,/ai-einstein-in-salesforce-b2c-commerce-cloud/,keep,markdown,ok,pass,pass,pass,pass,corrected,review-required,Engineering Owner
431,wxr,"filesystem,wxr",/mail-attachments-in-b2c-commerce-cloud/,migration/output/content/posts/mail-attachments-in-b2c-commerce-cloud.md,/mail-attachments-in-b2c-commerce-cloud/,keep,markdown,ok,warn,pass,pass,pass,corrected,review-required,Engineering Owner
4411,wxr,"filesystem,wxr",/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,migration/output/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud.md,/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,keep,markdown,ok,warn,pass,pass,pass,corrected,review-required,Engineering Owner
