legacy_url,resource_type,disposition,target_url,index_control_needed,implementation_layer,header_control_possible,owner
/20-years-of-dreamforce/feed/,feed,retire,null,no,none,no,migration-engineer
/author/thomas-theunen/feed/,feed,retire,null,no,none,no,seo-owner
/b2c-commerce-whats-new-in-22-4/feed/,feed,retire,null,no,none,no,migration-engineer
/b2c-commerce-whats-new-in-the-22-3-release/feed/,feed,retire,null,no,none,no,migration-engineer
/caching-rest-apis-in-sfcc/feed/,feed,retire,null,no,none,no,migration-engineer
/category/certification/feed/,feed,retire,null,no,none,no,migration-engineer
/category/community/feed/,feed,retire,null,no,none,no,migration-engineer
/category/corporate/feed/,feed,retire,null,no,none,no,migration-engineer
/category/external/feed/,feed,retire,null,no,none,no,migration-engineer
/category/external/forward/feed/,feed,retire,null,no,none,no,migration-engineer
/category/external/linkedin/feed/,feed,retire,null,no,none,no,migration-engineer
/category/external/salesforce-architects-blog/feed/,feed,retire,null,no,none,no,migration-engineer
/category/external/salesforce-ben/feed/,feed,retire,null,no,none,no,migration-engineer
/category/react/feed/,feed,retire,null,no,none,no,migration-engineer
/category/salesforce-commerce-cloud/ai/feed/,feed,retire,null,no,none,no,migration-engineer
/category/salesforce-commerce-cloud/architecture/feed/,feed,retire,null,no,none,no,migration-engineer
/category/salesforce-commerce-cloud/documentation/feed/,feed,retire,null,no,none,no,migration-engineer
/category/salesforce-commerce-cloud/erd/feed/,feed,retire,null,no,none,no,migration-engineer
/category/salesforce-commerce-cloud/feed/,feed,retire,null,no,none,no,migration-engineer
/category/salesforce-commerce-cloud/go-live/feed/,feed,retire,null,no,none,no,migration-engineer
/category/salesforce-commerce-cloud/release-notes/feed/,feed,retire,null,no,none,no,migration-engineer
/category/salesforce-commerce-cloud/technical/feed/,feed,retire,null,no,none,no,migration-engineer
/category/salesforce-platform/feed/,feed,retire,null,no,none,no,migration-engineer
/category/uncategorized/feed/,feed,retire,null,no,none,no,migration-engineer
/category/video/feed/,feed,retire,null,no,none,no,migration-engineer
/category/video/podcasts/feed/,feed,retire,null,no,none,no,migration-engineer
/category/video/sessions/feed/,feed,retire,null,no,none,no,migration-engineer
/certifications-for-salesforce-b2c-commerce-cloud/feed/,feed,retire,null,no,none,no,migration-engineer
/comments/feed/,feed,retire,null,no,none,no,migration-engineer
/commerce-cloud-t-shirts-on-shirtforce/feed/,feed,retire,null,no,none,no,migration-engineer
/connecting-the-clouds-wedding-or-funeral/feed/,feed,retire,null,no,none,no,migration-engineer
/creating-custom-ocapi-endpoints/feed/,feed,retire,null,no,none,no,migration-engineer
/custom-ttf-fonts-in-pdf-for-sfcc/feed/,feed,retire,null,no,none,no,migration-engineer
/feed/,feed,redirect,/index.xml,no,pages-static,no,seo-owner
/feed/atom/,feed,redirect,/index.xml,no,pages-static,no,seo-owner
/feed/rss/,feed,redirect,/index.xml,no,pages-static,no,seo-owner
/getting-to-know-sfra-as-a-developer/feed/,feed,retire,null,no,none,no,migration-engineer
/helpful-salesforce-b2c-commerce-cloud-cli-tools/feed/,feed,retire,null,no,none,no,migration-engineer
/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/feed/,feed,retire,null,no,none,no,migration-engineer
/how-to-get-salesforce-certification-vouchers/feed/,feed,retire,null,no,none,no,migration-engineer
/how-to-use-ocapi-scapi-hooks/feed/,feed,retire,null,no,none,no,migration-engineer
/is-salesforce-certification-worth-it/feed/,feed,retire,null,no,none,no,migration-engineer
/lets-go-live-customer-migration/feed/,feed,retire,null,no,none,no,migration-engineer
/lets-go-live-ecdn/feed/,feed,retire,null,no,none,no,migration-engineer
/lets-go-live-seo/feed/,feed,retire,null,no,none,no,migration-engineer
/mail-attachments-in-b2c-commerce-cloud/feed/,feed,retire,null,no,none,no,migration-engineer
/me-myself-and-headless-a-composable-commerce-cloud-story/feed/,feed,retire,null,no,none,no,migration-engineer
/non-technical-sfcc-certifications/feed/,feed,retire,null,no,none,no,migration-engineer
/office-hours-for-salesforce-b2c-commerce-cloud/feed/,feed,retire,null,no,none,no,migration-engineer
/pdf-and-salesforce-commerce-cloud-b2c/feed/,feed,retire,null,no,none,no,migration-engineer
/podcasts-for-salesforce-b2c-commerce-cloud/feed/,feed,retire,null,no,none,no,migration-engineer
/preparing-for-the-b2c-commerce-developer-certification/feed/,feed,retire,null,no,none,no,migration-engineer
/privacy-policy/feed/,feed,retire,null,no,none,no,migration-engineer
