check_group,route,artifact,status,severity,sitemap_url,canonical_url,lastmod,finding,details
robots,/robots.txt,public/robots.txt,pass,none,,,,robots.txt contains the canonical sitemap directive.,
sitemap-url,/category/,public/sitemap.xml,pass,none,https://www.rhino-inquisitor.com/category/,https://www.rhino-inquisitor.com/category/,2026-03-09T10:00:00+00:00,"Sitemap URL is canonical, allowed, and metadata-consistent.",
sitemap-url,/pages/,public/sitemap.xml,pass,none,https://www.rhino-inquisitor.com/pages/,https://www.rhino-inquisitor.com/pages/,2026-03-09T10:00:00+00:00,"Sitemap URL is canonical, allowed, and metadata-consistent.",
sitemap-url,/phase-3-performance-baseline/,public/sitemap.xml,pass,none,https://www.rhino-inquisitor.com/phase-3-performance-baseline/,https://www.rhino-inquisitor.com/phase-3-performance-baseline/,2026-03-09T10:00:00+00:00,"Sitemap URL is canonical, allowed, and metadata-consistent.",
sitemap-url,/category/platform/,public/sitemap.xml,pass,none,https://www.rhino-inquisitor.com/category/platform/,https://www.rhino-inquisitor.com/category/platform/,2026-03-09T10:00:00+00:00,"Sitemap URL is canonical, allowed, and metadata-consistent.",
sitemap-url,/posts/,public/sitemap.xml,pass,none,https://www.rhino-inquisitor.com/posts/,https://www.rhino-inquisitor.com/posts/,2026-03-09T10:00:00+00:00,"Sitemap URL is canonical, allowed, and metadata-consistent.",
sitemap-url,/,public/sitemap.xml,pass,none,https://www.rhino-inquisitor.com/,https://www.rhino-inquisitor.com/,2026-03-09T10:00:00+00:00,"Sitemap URL is canonical, allowed, and metadata-consistent.",
sitemap-url,/scaffold-readiness/,public/sitemap.xml,pass,none,https://www.rhino-inquisitor.com/scaffold-readiness/,https://www.rhino-inquisitor.com/scaffold-readiness/,2026-03-09T10:00:00+00:00,"Sitemap URL is canonical, allowed, and metadata-consistent.",
sitemap-url,/category/architecture/,public/sitemap.xml,pass,none,https://www.rhino-inquisitor.com/category/architecture/,https://www.rhino-inquisitor.com/category/architecture/,2026-02-09T13:10:33+00:00,"Sitemap URL is canonical, allowed, and metadata-consistent.",
sitemap-url,/real-time-inventory-checks-in-sfcc/,public/sitemap.xml,pass,none,https://www.rhino-inquisitor.com/real-time-inventory-checks-in-sfcc/,https://www.rhino-inquisitor.com/real-time-inventory-checks-in-sfcc/,2026-02-09T13:10:33+00:00,"Sitemap URL is canonical, allowed, and metadata-consistent.",
