legacy_url,route_class,disposition,target_url,outcome_verified,http_status,notes
/,page,keep,/,yes,200,Published keep route verified at index.html.
/?p=10100,system,redirect,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/index.html exists.
/?p=1011,system,redirect,/preparing-for-the-b2c-commerce-developer-certification/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target preparing-for-the-b2c-commerce-developer-certification/index.html exists.
/?p=10175,system,redirect,/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/index.html exists.
/?p=10453,system,redirect,/new-apis-and-features-for-a-headless-sfcc/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target new-apis-and-features-for-a-headless-sfcc/index.html exists.
/?p=10508,system,redirect,/slicing-versus-variation-groups-in-sfcc/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target slicing-versus-variation-groups-in-sfcc/index.html exists.
/?p=10587,system,redirect,/leveraging-generic-mappings-in-sfcc/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target leveraging-generic-mappings-in-sfcc/index.html exists.
/?p=1061,system,redirect,/is-salesforce-certification-worth-it/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target is-salesforce-certification-worth-it/index.html exists.
/?p=10642,system,redirect,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/index.html exists.
/?p=10683,system,redirect,/why-circumventing-sfcc-quota-limits-is-a-bad-idea/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target why-circumventing-sfcc-quota-limits-is-a-bad-idea/index.html exists.
/?p=1077,system,redirect,/video/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target video/index.html exists.
/?p=11082,system,redirect,/sfcc-24-1-release-a-new-year-update/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target sfcc-24-1-release-a-new-year-update/index.html exists.
/?p=11181,system,redirect,/understanding-locale-fallback-in-sfcc/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target understanding-locale-fallback-in-sfcc/index.html exists.
/?p=1124,system,redirect,/server-side-performance-in-sfcc/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target server-side-performance-in-sfcc/index.html exists.
/?p=11255,system,redirect,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/index.html exists.
/?p=11362,system,redirect,/the-attribute-fallback-system-in-sfcc/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target the-attribute-fallback-system-in-sfcc/index.html exists.
/?p=11566,system,redirect,/digging-into-the-b2c-commerce-cloud-24-3-release/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target digging-into-the-b2c-commerce-cloud-24-3-release/index.html exists.
/?p=1161,system,redirect,/the-move-from-on-site-to-remote/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target the-move-from-on-site-to-remote/index.html exists.
/?p=11627,system,redirect,/reflecting-on-2-years-of-blogging/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target reflecting-on-2-years-of-blogging/index.html exists.
/?p=11658,system,redirect,/in-the-ring-ocapi-versus-scapi/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target in-the-ring-ocapi-versus-scapi/index.html exists.
/?p=11710,system,redirect,/migrate-magento-passwords-using-argon2/,yes,,Policy-verified Model A query-string redirect; source is not served by Hugo aliases at launch and the approved target migrate-magento-passwords-using-argon2/index.html exists.
