scope,subject,source_file,public_file,target_value,refresh_target,canonical_target,status,actual_outcome,notes
content-alias,/category/salesforce-commerce-cloud/ai/,categories/ai/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/salesforce-commerce-cloud/architecture/,categories/architecture/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/salesforce-commerce-cloud/erd/,categories/erd/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/external/forward/,categories/external/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/salesforce-commerce-cloud/go-live/,categories/go-live/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/external/linkedin/,categories/linkedin/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/video/podcasts/,categories/podcasts/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/salesforce-commerce-cloud/release-notes/,categories/release-notes/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/external/salesforce-architects-blog/,categories/salesforce-architects-blog/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/external/salesforce-ben/,categories/salesforce-ben/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/salesforce-commerce-cloud/documentation/,categories/salesforce-commerce-cloud/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/video/sessions/,categories/sessions/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/category/salesforce-commerce-cloud/technical/,categories/technical/_index.md,,,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/delta-exports-in-salesforce-b2c-commerce/,posts/delta-exports-in-salesforce-b2c-commerce-cloud.md,,/delta-exports-in-salesforce-b2c-commerce-cloud/,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
content-alias,/how-to-set-up-the-ecdn-for-staging-in-salesforce-b2c-commerce-cloud/,posts/how-to-set-up-the-ecdn-in-sfcc-staging.md,,/how-to-set-up-the-ecdn-in-sfcc-staging/,,,pass,relative-alias-path,Alias value is a valid site-relative source path.
url-map,target-url-scan,migration/url-map.csv,,338,,,pass,https-only-targets,Checked 338 url-map target_url value(s); pages-static merge rows in scope: 18.
