check_group,route,target_url,artifact,status,actual_outcome,notes
sitemap-url,/category/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/pages/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/phase-3-performance-baseline/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/platform/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/posts/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/scaffold-readiness/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/architecture/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/real-time-inventory-checks-in-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/salesforce-commerce-cloud/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/a-dev-guide-to-combating-fraud-on-sfcc/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/kickstart-guide-for-new-sfcc-developers/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/your-definitive-mobile-app-checklist/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/a-survival-guide-to-sfcc-platform-limits/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/category/technical/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
sitemap-url,/the-realm-split-field-guide-to-migrating-an-sfcc-site/,,public/sitemap.xml,pass,canonical-sitemap-url,"Sitemap URL is absolute, HTTPS, and canonical-host aligned."
