gate_name,command,status,blocking,run_timestamp,ci_run_url,notes
"Validate front matter","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run validate:frontmatter","pass","true","2026-03-21T07:07:36Z","","Blocking gate passed."
"Enforce local video shortcode policy","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:local-video-shortcodes","pass","true","2026-03-21T07:07:37Z","","Blocking gate passed."
"Build production validation site","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && build_started_at=$(node -e 'console.log(Date.now())') && hugo --cleanDestinationDir --gc --minify --environment production && build_finished_at=$(node -e 'console.log(Date.now())') && mkdir -p \"$(dirname \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com/tmp/phase-7-build-duration-ms.txt\")\" && printf '%s' \"$((build_finished_at - build_started_at))\" > \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com/tmp/phase-7-build-duration-ms.txt\"","pass","true","2026-03-21T07:07:38Z","","Blocking gate passed."
"Validate production artifact integrity and size","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run validate:artifact -- --label production-validation --report tmp/phase-7-artifact-validation-production.json","pass","true","2026-03-21T07:07:49Z","","Blocking gate passed."
"Validate URL inventory","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run validate:url-inventory","pass","true","2026-03-21T07:07:50Z","","Blocking gate passed."
"Run Pages artifact constraints check","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && build_duration_ms=$(cat \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com/tmp/phase-7-build-duration-ms.txt\" 2>/dev/null || printf '') && if [[ -n \"$build_duration_ms\" ]]; then npm run check:pages-constraints -- --build-duration-ms \"$build_duration_ms\"; else npm run check:pages-constraints; fi","pass","true","2026-03-21T07:07:50Z","","Blocking gate passed."
"Run URL parity check","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:url-parity","pass","true","2026-03-21T07:07:51Z","","Blocking gate passed."
"Run redirect target existence check","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:redirect-targets","pass","true","2026-03-21T07:07:51Z","","Blocking gate passed."
"Run redirect chain check","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:redirect-chains","pass","true","2026-03-21T07:07:52Z","","Blocking gate passed."
"Run Phase 8 URL parity gate","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:url-parity:p8","pass","true","2026-03-21T07:07:52Z","","Blocking gate passed."
"Run Phase 8 redirect quality gate","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:redirect-quality","pass","true","2026-03-21T07:07:53Z","","Blocking gate passed."
"Run Phase 8 SEO consistency gate","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:seo-consistency","pass","true","2026-03-21T07:07:54Z","","Blocking gate passed."
"Run Phase 8 robots and sitemap gate","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:robots-sitemap","pass","true","2026-03-21T07:07:56Z","","Blocking gate passed."
"Run Phase 8 structured-data gate","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:structured-data","pass","true","2026-03-21T07:07:56Z","","Blocking gate passed."
"Run Phase 8 social-preview gate","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:social-preview","pass","true","2026-03-21T07:07:57Z","","Blocking gate passed."
"Run Phase 8 HTML conformance gate","cd \"/Users/thomastheunen/Documents/Projects/rhino-inquisitor-com\" && npm run check:html-conformance","pass","true","2026-03-21T07:07:59Z","","Blocking gate passed."
