audit_id,article_url,overall_result,finding_classification,text_similarity,code_similarity,risk_level,watch_reason,evidence
RHI-CRIT-010,/a-new-commerce-cloud-community-in-town/,pass,structure-only-drift,0.881,1.000,low,text_similarity_below_0_90,text_similarity=0.881; heading_similarity=0.429; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-019,/b2c-commerce-whats-new-in-22-4/,pass,no-material-drift,0.897,1.000,low,text_similarity_below_0_90,text_similarity=0.897; heading_similarity=0.929; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-027,/creating-custom-ocapi-endpoints/,pass,no-material-drift,0.866,0.994,medium,text_similarity_below_0_88,text_similarity=0.866; heading_similarity=0.692; code_similarity=0.994; live_code_block_count=5; local_code_block_count=5; raw_url_diff=0
RHI-CRIT-038,/getting-to-know-sfra-as-a-developer/,pass,no-material-drift,0.870,1.000,medium,text_similarity_below_0_88,text_similarity=0.870; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-045,/how-to-filter-jsdoc-in-storybook-autodocs/,pass,no-material-drift,0.945,0.964,low,code_similarity_below_0_97,text_similarity=0.945; heading_similarity=1.000; code_similarity=0.964; live_code_block_count=5; local_code_block_count=5; raw_url_diff=0
RHI-CRIT-048,/how-to-load-client-side-javascript-and-css-in-sfra/,pass,structure-only-drift,0.943,0.935,low,code_similarity_below_0_97,text_similarity=0.943; heading_similarity=0.538; code_similarity=0.935; live_code_block_count=4; local_code_block_count=4; raw_url_diff=0
RHI-CRIT-049,/how-to-set-up-slas-for-the-composable-storefront/,pass,structure-only-drift,0.926,1.000,low,raw_url_diff_1,text_similarity=0.926; heading_similarity=0.400; code_similarity=1.000; live_code_block_count=3; local_code_block_count=3; raw_url_diff=1
RHI-CRIT-050,/how-to-set-up-the-ecdn-in-sfcc-staging/,pass,no-material-drift,0.927,0.958,low,code_similarity_below_0_97,text_similarity=0.927; heading_similarity=0.846; code_similarity=0.958; live_code_block_count=11; local_code_block_count=11; raw_url_diff=0
RHI-CRIT-051,/how-to-setup-oauth-jwt-for-the-ocapi/,pass,no-material-drift,0.873,1.000,medium,raw_url_diff_1|text_similarity_below_0_88,text_similarity=0.873; heading_similarity=0.667; code_similarity=1.000; live_code_block_count=2; local_code_block_count=2; raw_url_diff=1
RHI-CRIT-054,/image-ine-sfcc-dis-for-developers/,pass,no-material-drift,0.965,0.932,low,code_similarity_below_0_97,text_similarity=0.965; heading_similarity=0.857; code_similarity=0.932; live_code_block_count=5; local_code_block_count=5; raw_url_diff=0
RHI-CRIT-057,/it-sure-has-been-quiet-on-this-blog/,pass,no-material-drift,0.952,1.000,low,raw_url_diff_1,text_similarity=0.952; heading_similarity=0.667; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=1
RHI-CRIT-061,/lets-go-live-ecdn/,pass,no-material-drift,0.937,1.000,low,raw_url_diff_1,text_similarity=0.937; heading_similarity=0.895; code_similarity=1.000; live_code_block_count=1; local_code_block_count=1; raw_url_diff=1
RHI-CRIT-066,/mail-attachments-in-b2c-commerce-cloud/,pass,no-material-drift,0.955,0.906,medium,code_similarity_below_0_93,text_similarity=0.955; heading_similarity=1.000; code_similarity=0.906; live_code_block_count=8; local_code_block_count=8; raw_url_diff=0
RHI-CRIT-075,/phase-3-performance-baseline/,needs-review,scaffold-exception,0.000,1.000,high,non-pass-row|text_similarity_below_0_88,text_similarity=0.000; heading_similarity=0.000; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0; live_h1=404 Error; local_h1=Phase 3 Performance Baseline
RHI-CRIT-080,/salesforce-b2c-commerce-cloud-22-10/,pass,no-material-drift,0.897,1.000,low,text_similarity_below_0_90,text_similarity=0.897; heading_similarity=0.958; code_similarity=1.000; live_code_block_count=1; local_code_block_count=1; raw_url_diff=0
RHI-CRIT-087,/salesforce-b2c-commerce-cloud-catalog-erd/,pass,structure-only-drift,0.895,1.000,low,text_similarity_below_0_90,text_similarity=0.895; heading_similarity=0.333; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-090,/salesforce-b2c-commerce-cloud-documentation/,pass,no-material-drift,0.923,1.000,medium,raw_url_diff_10,text_similarity=0.923; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=10
RHI-CRIT-092,/salesforce-b2c-commerce-cloud-november-2022-updates/,pass,no-material-drift,0.896,1.000,low,text_similarity_below_0_90,text_similarity=0.896; heading_similarity=0.833; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-094,/salesforce-b2c-commerce-cloud-the-22-7-release/,pass,no-material-drift,0.870,1.000,medium,text_similarity_below_0_88,text_similarity=0.870; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=0; local_code_block_count=0; raw_url_diff=0
RHI-CRIT-106,/sfcc-url-cracking-the-code/,pass,no-material-drift,0.931,1.000,low,raw_url_diff_1,text_similarity=0.931; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=6; local_code_block_count=6; raw_url_diff=1
RHI-CRIT-115,/submitting-a-file-to-a-third-party-service-in-sfcc/,pass,no-material-drift,0.892,1.000,low,text_similarity_below_0_90,text_similarity=0.892; heading_similarity=1.000; code_similarity=1.000; live_code_block_count=5; local_code_block_count=5; raw_url_diff=0
