audit_id,audit_run_id,audit_date,article_url,source_file,live_status,local_status,live_selector_found,local_selector_found,live_text_length,local_text_length,live_pre_count,local_pre_count,live_image_count,local_image_count,live_table_count,local_table_count,live_iframe_count,local_iframe_count,overall_result,severity,finding_classification,summary,live_evidence_path,local_evidence_path
RHI-VIS-001,phase-8-visual-compare-2026-03-22,2026-03-22,/20-years-of-dreamforce/,src/content/posts/20-years-of-dreamforce/index.md,200,200,1,1,9085,9088,0,0,7,7,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-002,phase-8-visual-compare-2026-03-22,2026-03-22,/a-beginners-guide-to-webdav-in-sfcc/,src/content/posts/a-beginners-guide-to-webdav-in-sfcc/index.md,200,200,1,1,6097,6207,1,1,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-003,phase-8-visual-compare-2026-03-22,2026-03-22,/a-deep-dive-into-the-23-7-sfcc-release/,src/content/posts/a-deep-dive-into-the-23-7-sfcc-release/index.md,200,200,1,1,6713,6801,0,0,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-004,phase-8-visual-compare-2026-03-22,2026-03-22,/a-dev-guide-to-combating-fraud-on-sfcc/,src/content/posts/a-dev-guide-to-combating-fraud-on-sfcc/index.md,200,200,1,1,20658,20653,0,0,4,4,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-005,phase-8-visual-compare-2026-03-22,2026-03-22,/a-look-at-the-23-9-commerce-cloud-release/,src/content/posts/a-look-at-the-23-9-commerce-cloud-release/index.md,200,200,1,1,6629,7165,0,0,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-006,phase-8-visual-compare-2026-03-22,2026-03-22,/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,src/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/index.md,200,200,1,1,9346,9366,0,0,0,0,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-007,phase-8-visual-compare-2026-03-22,2026-03-22,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,src/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/index.md,200,200,1,1,9071,9067,2,2,4,4,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-008,phase-8-visual-compare-2026-03-22,2026-03-22,/a-look-at-the-sfcc-23-5-release/,src/content/posts/a-look-at-the-sfcc-23-5-release/index.md,200,200,1,1,8165,8189,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-009,phase-8-visual-compare-2026-03-22,2026-03-22,/a-look-back-at-origin-shielding/,src/content/posts/a-look-back-at-origin-shielding/index.md,200,200,1,1,4205,4191,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-010,phase-8-visual-compare-2026-03-22,2026-03-22,/a-new-commerce-cloud-community-in-town/,src/content/posts/a-new-commerce-cloud-community-in-town/index.md,200,200,1,1,3946,3943,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-011,phase-8-visual-compare-2026-03-22,2026-03-22,/a-new-day-for-commerce-recap/,src/content/posts/a-new-day-for-commerce-recap/index.md,200,200,1,1,6639,6642,0,0,4,4,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-012,phase-8-visual-compare-2026-03-22,2026-03-22,/a-survival-guide-to-sfcc-platform-limits/,src/content/posts/a-survival-guide-to-sfcc-platform-limits/index.md,200,200,1,1,37324,37296,0,0,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-013,phase-8-visual-compare-2026-03-22,2026-03-22,/ai-as-an-architect-and-content-creator/,src/content/posts/ai-as-an-architect-and-content-creator/index.md,200,200,1,1,5772,5764,0,0,6,6,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-014,phase-8-visual-compare-2026-03-22,2026-03-22,/ai-automation-to-augmentation-at-work/,src/content/posts/ai-automation-to-augmentation-at-work/index.md,200,200,1,1,8884,8886,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-015,phase-8-visual-compare-2026-03-22,2026-03-22,/ai-einstein-in-salesforce-b2c-commerce-cloud/,src/content/posts/ai-einstein-in-salesforce-b2c-commerce-cloud/index.md,200,200,1,1,6959,6975,0,0,7,7,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-016,phase-8-visual-compare-2026-03-22,2026-03-22,/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,src/content/posts/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/index.md,200,200,1,1,19818,19779,0,0,4,4,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-017,phase-8-visual-compare-2026-03-22,2026-03-22,/an-overview-of-sfcc-global-functions/,src/content/posts/an-overview-of-sfcc-global-functions/index.md,200,200,1,1,4330,4298,7,7,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-018,phase-8-visual-compare-2026-03-22,2026-03-22,/b2c-commerce-cloud-campaign-erd/,src/content/posts/b2c-commerce-cloud-campaign-erd/index.md,200,200,1,1,3799,3790,1,1,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-019,phase-8-visual-compare-2026-03-22,2026-03-22,/b2c-commerce-whats-new-in-22-4/,src/content/posts/b2c-commerce-whats-new-in-22-4/index.md,200,200,1,1,5691,5696,0,0,6,6,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-020,phase-8-visual-compare-2026-03-22,2026-03-22,/b2c-commerce-whats-new-in-the-22-3-release/,src/content/posts/b2c-commerce-whats-new-in-the-22-3-release/index.md,200,200,1,1,3134,3139,0,0,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-021,phase-8-visual-compare-2026-03-22,2026-03-22,/caching-in-the-sfcc-composable-storefront/,src/content/posts/caching-in-the-sfcc-composable-storefront/index.md,200,200,1,1,6813,6893,3,3,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-022,phase-8-visual-compare-2026-03-22,2026-03-22,/caching-rest-apis-in-sfcc/,src/content/posts/caching-rest-apis-in-sfcc/index.md,200,200,1,1,5131,5779,3,3,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-023,phase-8-visual-compare-2026-03-22,2026-03-22,/certifications-for-salesforce-b2c-commerce-cloud/,src/content/posts/certifications-for-salesforce-b2c-commerce-cloud/index.md,200,200,1,1,5905,5903,0,0,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-024,phase-8-visual-compare-2026-03-22,2026-03-22,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,src/content/posts/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/index.md,200,200,1,1,4385,4381,0,0,6,6,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-025,phase-8-visual-compare-2026-03-22,2026-03-22,/commerce-cloud-t-shirts-on-shirtforce/,src/content/posts/commerce-cloud-t-shirts-on-shirtforce/index.md,200,200,1,1,3261,3272,0,0,5,5,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-026,phase-8-visual-compare-2026-03-22,2026-03-22,/community-salesforce-events-and-commerce-cloud/,src/content/posts/community-salesforce-events-and-commerce-cloud/index.md,200,200,1,1,5677,5781,0,0,0,0,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-027,phase-8-visual-compare-2026-03-22,2026-03-22,/creating-custom-ocapi-endpoints/,src/content/posts/creating-custom-ocapi-endpoints/index.md,200,200,1,1,9187,9471,5,5,5,5,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-028,phase-8-visual-compare-2026-03-22,2026-03-22,/custom-preferences-in-sfcc/,src/content/posts/custom-preferences-in-sfcc/index.md,200,200,1,1,4618,4620,3,3,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-029,phase-8-visual-compare-2026-03-22,2026-03-22,/custom-ttf-fonts-in-pdf-for-sfcc/,src/content/posts/custom-ttf-fonts-in-pdf-for-sfcc/index.md,200,200,1,1,3829,3817,3,3,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-030,phase-8-visual-compare-2026-03-22,2026-03-22,/delta-exports-in-salesforce-b2c-commerce-cloud/,src/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud/index.md,200,200,1,1,4602,4634,0,0,6,6,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-031,phase-8-visual-compare-2026-03-22,2026-03-22,/digging-into-the-b2c-commerce-cloud-24-3-release/,src/content/posts/digging-into-the-b2c-commerce-cloud-24-3-release/index.md,200,200,1,1,8662,8677,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-032,phase-8-visual-compare-2026-03-22,2026-03-22,/events-and-the-golden-hoodie/,src/content/posts/events-and-the-golden-hoodie/index.md,200,200,1,1,5988,6087,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-033,phase-8-visual-compare-2026-03-22,2026-03-22,/everything-new-in-sfcc-23-4/,src/content/posts/everything-new-in-sfcc-23-4/index.md,200,200,1,1,6062,6090,0,0,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-034,phase-8-visual-compare-2026-03-22,2026-03-22,/fetching-data-in-a-locale-with-sfcc/,src/content/posts/fetching-data-in-a-locale-with-sfcc/index.md,200,200,1,1,3103,3087,3,3,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-035,phase-8-visual-compare-2026-03-22,2026-03-22,/field-guide-to-custom-caches-in-sfcc/,src/content/posts/field-guide-to-custom-caches-in-sfcc/index.md,200,200,1,1,23163,23160,5,5,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-036,phase-8-visual-compare-2026-03-22,2026-03-22,/get-connected-at-salesforce-connections-2022/,src/content/posts/get-connected-at-salesforce-connections-2022/index.md,200,200,1,1,11627,11629,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-037,phase-8-visual-compare-2026-03-22,2026-03-22,/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,src/content/posts/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/index.md,200,200,1,1,8451,8444,0,0,0,0,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-038,phase-8-visual-compare-2026-03-22,2026-03-22,/getting-to-know-sfra-as-a-developer/,src/content/posts/getting-to-know-sfra-as-a-developer/index.md,200,200,1,1,4131,4116,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-039,phase-8-visual-compare-2026-03-22,2026-03-22,/getting-to-know-the-sfcc-24-4-release/,src/content/posts/getting-to-know-the-sfcc-24-4-release/index.md,200,200,1,1,8702,8656,2,2,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-040,phase-8-visual-compare-2026-03-22,2026-03-22,/guide-to-the-getprops-method-in-sfcc/,src/content/posts/guide-to-the-getprops-method-in-sfcc/index.md,200,200,1,1,9640,9123,8,8,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-041,phase-8-visual-compare-2026-03-22,2026-03-22,/helpful-salesforce-b2c-commerce-cloud-cartridges/,src/content/posts/helpful-salesforce-b2c-commerce-cloud-cartridges/index.md,200,200,1,1,5651,5654,0,0,4,4,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-042,phase-8-visual-compare-2026-03-22,2026-03-22,/helpful-salesforce-b2c-commerce-cloud-cli-tools/,src/content/posts/helpful-salesforce-b2c-commerce-cloud-cli-tools/index.md,200,200,1,1,3556,3561,0,0,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-043,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud/,src/content/posts/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud/index.md,200,200,1,1,3861,3857,2,2,6,6,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-044,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,src/content/posts/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/index.md,200,200,1,1,5893,5884,3,3,7,7,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-045,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-filter-jsdoc-in-storybook-autodocs/,src/content/posts/how-to-filter-jsdoc-in-storybook-autodocs/index.md,200,200,1,1,6958,6941,5,5,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-046,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/,src/content/posts/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/index.md,200,200,1,1,4332,4367,0,0,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-047,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-get-salesforce-certification-vouchers/,src/content/posts/how-to-get-salesforce-certification-vouchers/index.md,200,200,1,1,3320,3326,0,0,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-048,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-load-client-side-javascript-and-css-in-sfra/,src/content/posts/how-to-load-client-side-javascript-and-css-in-sfra/index.md,200,200,1,1,4332,4275,4,4,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-049,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-set-up-slas-for-the-composable-storefront/,src/content/posts/how-to-set-up-slas-for-the-composable-storefront/index.md,200,200,1,1,5986,5942,3,3,8,8,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-050,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-set-up-the-ecdn-in-sfcc-staging/,src/content/posts/how-to-set-up-the-ecdn-in-sfcc-staging/index.md,200,200,1,1,13651,13684,11,11,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-051,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-setup-oauth-jwt-for-the-ocapi/,src/content/posts/how-to-setup-oauth-jwt-for-the-ocapi/index.md,200,200,1,1,4950,4971,2,2,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-052,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-use-node-18-with-sfra/,src/content/posts/how-to-use-node-18-with-sfra/index.md,200,200,1,1,7267,7292,6,6,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-053,phase-8-visual-compare-2026-03-22,2026-03-22,/how-to-use-ocapi-scapi-hooks/,src/content/posts/how-to-use-ocapi-scapi-hooks/index.md,200,200,1,1,25763,25797,8,8,5,5,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-054,phase-8-visual-compare-2026-03-22,2026-03-22,/image-ine-sfcc-dis-for-developers/,src/content/posts/image-ine-sfcc-dis-for-developers/index.md,200,200,1,1,18153,18083,5,5,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-055,phase-8-visual-compare-2026-03-22,2026-03-22,/in-the-ring-ocapi-versus-scapi/,src/content/posts/in-the-ring-ocapi-versus-scapi/index.md,200,200,1,1,6015,5784,0,0,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-056,phase-8-visual-compare-2026-03-22,2026-03-22,/is-salesforce-certification-worth-it/,src/content/posts/is-salesforce-certification-worth-it/index.md,200,200,1,1,8354,8329,0,0,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-057,phase-8-visual-compare-2026-03-22,2026-03-22,/it-sure-has-been-quiet-on-this-blog/,src/content/posts/it-sure-has-been-quiet-on-this-blog/index.md,200,200,1,1,4700,4705,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-058,phase-8-visual-compare-2026-03-22,2026-03-22,/kickstart-guide-for-new-sfcc-developers/,src/content/posts/kickstart-guide-for-new-sfcc-developers/index.md,200,200,1,1,25421,25392,0,0,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-059,phase-8-visual-compare-2026-03-22,2026-03-22,/lag-to-riches-a-pwa-kit-developers-guide/,src/content/posts/lag-to-riches-a-pwa-kit-developers-guide/index.md,200,200,1,1,24340,24291,0,0,4,4,1,1,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-060,phase-8-visual-compare-2026-03-22,2026-03-22,/lets-go-live-customer-migration/,src/content/posts/lets-go-live-customer-migration/index.md,200,200,1,1,4202,4185,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-061,phase-8-visual-compare-2026-03-22,2026-03-22,/lets-go-live-ecdn/,src/content/posts/lets-go-live-ecdn/index.md,200,200,1,1,9885,9886,1,1,13,13,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-062,phase-8-visual-compare-2026-03-22,2026-03-22,/lets-go-live-seo/,src/content/posts/lets-go-live-seo/index.md,200,200,1,1,4431,4428,0,0,0,0,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
